"Specification","ln(MTB)","ln(market cap)","Leverage (ratio)","ln(assets)"
"Baseline","0.002 (0.024)","−0.055* (0.030)","0.008* (0.005)","0.044** (0.018)"
"R1 Not-yet-scored in controls","−0.001 (0.024)","−0.053* (0.029)","0.009* (0.005)","0.040** (0.017)"
"R2 No covariates","0.025 (0.022)","0.016 (0.025)","0.012*** (0.004)","0.011 (0.015)"
"R3 No 2020–2021 cohorts","0.031 (0.027)","−0.029 (0.036)","0.004 (0.005)","0.020 (0.019)"
"R4 Size-trimmed controls","0.016 (0.025)","−0.007 (0.031)","0.009* (0.005)","0.101*** (0.017)"
"R5 Placebo, 3 years early","0.059*** (0.023)","0.134*** (0.028)","−0.002 (0.005)","0.115*** (0.015)"
"R6 Two-way fixed effects","0.064** (0.026)","0.185*** (0.032)","0.005 (0.005)","0.117*** (0.022)"
"R7 Pre-trend removed","−0.052 (0.034)","−0.134*** (0.042)","0.023*** (0.006)","0.011 (0.023)"
"R8 Pre-coverage growth","0.028 (0.025)","−0.034 (0.032)","0.008 (0.005)","0.043** (0.018)"
"R9 No Malaysia","−0.003 (0.035)","0.037 (0.038)","0.022*** (0.008)","0.046 (0.029)"
"R10 Dated 1 year later","−0.068*** (0.024)","−0.073** (0.030)","0.007 (0.005)","−0.006 (0.017)"
"R11 Cohorts to 2021","−0.008 (0.033)","−0.030 (0.037)","0.013* (0.007)","0.082*** (0.027)"
"High initial score","−0.019 (0.030)","−0.029 (0.034)","0.009 (0.006)","0.038* (0.022)"
"Low initial score","0.022 (0.033)","−0.081* (0.042)","0.007 (0.006)","0.049** (0.022)"
"High minus low","−0.041 (0.040)","0.052 (0.047)","0.002 (0.008)","−0.011 (0.025)"
